seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
marca,,,,,,,,CADENAS DE NIEVE,53347.86
marca,,,,,,,,CADIC ** (595),50098.56
marca,,,,,,,,CARESA,220277.12
marca,,,,,,,,CARLITOS,70499.0
marca,,,,,,,,CASEROS (101),36123.93
marca,,,,,,,,CHAMPION**(416),10144.78
marca,,,,,,,,CLICK**,4234.27
marca,,,,,,,,CMB**(528),33854.48
marca,,,,,,,,CMD,22603.52
marca,,,,,,,,CONTINENTAL**(050),40257.53
marca,,,,,,,,CORAM**(528),37116.03
marca,,,,,,,,CRISTAL (504),14859.41
marca,,,,,,,,DAEMA* S.A,34156.75
marca,,,,,,,,DAYCO INDUSTRIAL**,23202.48
marca,,,,,,,,DAYCO RODAMIENTOS**,98234.15
marca,,,,,,,,DAYCO**,86805.89
marca,,,,,,,,DINAHCOM,11284.57
marca,,,,,,,,DIPRA**,61301.14
marca,,,,,,,,DISTRIBUIDORES(617),137186.92
marca,,,,,,,,DIVAIO*(417),25697.03
marca,,,,,,,,DODUCO AZUL(617),4480.58
marca,,,,,,,,DOG (434),43234.61
marca,,,,,,,,DOLAR,581371.41
marca,,,,,,,,DPI**(528),25857.04
marca,,,,,,,,DUCK,29172.25
marca,,,,,,,,DURER(617),3927.65
marca,,,,,,,,DZ**(595),14769.29
marca,,,,,,,,DZE**,24769.77
marca,,,,,,,,EFR**,153467.89
marca,,,,,,,,EFR** (595),14350.14
marca,,,,,,,,EL TALA*,2344.07
marca,,,,,,,,ELECTRICIDAD EFR**,21921.78
marca,,,,,,,,ELOD,9345.79
marca,,,,,,,,ENERGY(056),6051.8
marca,,,,,,,,EU**,25344.12
marca,,,,,,,,FACORSA**,378334.51
marca,,,,,,,,FAG**(528),100732.74
marca,,,,,,,,FAP,8432.49
marca,,,,,,,,FILTROS DE AIRE CON,11767.42
marca,,,,,,,,FLENNOR**,1196039.98
marca,,,,,,,,FLETE,1870.0
marca,,,,,,,,FLORIO**(050),23377.56
marca,,,,,,,,FORD ORIGINAL**,8576.33
marca,,,,,,,,FREHA*(050),5453.73
marca,,,,,,,,FREMAX**(528),49708.36
marca,,,,,,,,FREPLAST*(050),1084.11
marca,,,,,,,,GD**,19948.74
marca,,,,,,,,GENOUD**,42733.54
marca,,,,,,,,GENOUD**(085),5713.79
marca,,,,,,,,GENY*,10573.44
marca,,,,,,,,GESPANNT**(050),72921.59
marca,,,,,,,,GKG POLEAS Y TENSORE,43967.84
marca,,,,,,,,GM**,7378.36
marca,,,,,,,,GTC**(528),37460.02
marca,,,,,,,,GV**,11177.73
